2026-02-25 17:32:44 | DEBUG    | Heartbeat | Heartbeat Sent. Response: {'heartbeat_id': '11de582e-9522-4673-815e-847c49669fa2'}
2026-02-25 17:32:54 | INFO     | MainApp | ==================================================
2026-02-25 17:32:54 | INFO     | MainApp |  💸 [LIVE PNL] Current Balance: $10.00 
2026-02-25 17:32:54 | INFO     | MainApp |  📈 [HIGH WATER MARK] Peak: $10.00 
2026-02-25 17:32:54 | INFO     | MainApp | ==================================================
2026-02-25 17:33:06 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:33:06 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:33:06 | DEBUG    | MainApp | Unhandled Tick: last_trade_price
2026-02-25 17:33:34 | DEBUG    | Heartbeat | Heartbeat Sent. Response: {'heartbeat_id': '79e8a48e-a45e-456c-b094-2eaa317ab455'}
2026-02-25 17:33:54 | INFO     | MainApp | ==================================================
2026-02-25 17:33:54 | INFO     | MainApp |  💸 [LIVE PNL] Current Balance: $10.00 
2026-02-25 17:33:54 | INFO     | MainApp |  📈 [HIGH WATER MARK] Peak: $10.00 
2026-02-25 17:33:54 | INFO     | MainApp | ==================================================
2026-02-25 17:34:24 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:34:24 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:34:24 | DEBUG    | MainApp | Unhandled Tick: last_trade_price
2026-02-25 17:34:25 | DEBUG    | Heartbeat | Heartbeat Sent. Response: {'heartbeat_id': '9ead7dd3-cf6c-4a4e-b679-481f4b86aea3'}
2026-02-25 17:34:54 | INFO     | MainApp | ==================================================
2026-02-25 17:34:54 | INFO     | MainApp |  💸 [LIVE PNL] Current Balance: $10.00 
2026-02-25 17:34:54 | INFO     | MainApp |  📈 [HIGH WATER MARK] Peak: $10.00 
2026-02-25 17:34:54 | INFO     | MainApp | ==================================================
2026-02-25 17:35:08 | INFO     | SpreadSniper | [snipe_target] Volatility Spike Detected! Asset: 63761293...
2026-02-25 17:35:08 | INFO     | SpreadSniper |    ↳ Spread: 0.0300 | Avg (EMA): 0.0120 | Threshold Required: 0.0180
2026-02-25 17:35:08 | INFO     | SpreadSniper | Executing Snipe for 63761293... Placing Bid @ 0.86 & Ask @ 0.87
2026-02-25 17:35:08 | INFO     | SpreadSniper | Bid Placed: {'errorMsg': '', 'orderID': '0x6039848adb65b0a2e2f18f77b079c9ed38caecb43425fce561b5d000eba32c39', 'takingAmount': '', 'makingAmount': '', 'status': 'live', 'success': True}
2026-02-25 17:35:08 | WARNING  | SpreadSniper | Ask Rejected: Insufficient '63761293' token inventory to place a naked SELL. V2 Inventory Management required.
2026-02-25 17:35:09 | INFO     | SpreadSniper | [snipe_target] Volatility Spike Detected! Asset: 94521268...
2026-02-25 17:35:09 | INFO     | SpreadSniper |    ↳ Spread: 0.0300 | Avg (EMA): 0.0120 | Threshold Required: 0.0180
2026-02-25 17:35:09 | INFO     | SpreadSniper | Executing Snipe for 94521268... Placing Bid @ 0.13 & Ask @ 0.14
2026-02-25 17:35:10 | INFO     | SpreadSniper | Bid Placed: {'errorMsg': '', 'orderID': '0x04cf5e2d76faedca488017617b4e7944f534ac592a8658a896fc957e35863737', 'takingAmount': '', 'makingAmount': '', 'status': 'live', 'success': True}
2026-02-25 17:35:10 | WARNING  | SpreadSniper | Ask Rejected: Insufficient '94521268' token inventory to place a naked SELL. V2 Inventory Management required.
2026-02-25 17:35:11 | INFO     | SpreadSniper | [snipe_target] Volatility Spike Detected! Asset: 63761293...
2026-02-25 17:35:11 | INFO     | SpreadSniper |    ↳ Spread: 0.0300 | Avg (EMA): 0.0138 | Threshold Required: 0.0207
2026-02-25 17:35:11 | INFO     | SpreadSniper | [snipe_target] Volatility Spike Detected! Asset: 94521268...
2026-02-25 17:35:11 | INFO     | SpreadSniper |    ↳ Spread: 0.0300 | Avg (EMA): 0.0138 | Threshold Required: 0.0207
2026-02-25 17:35:11 | INFO     | SpreadSniper | [snipe_target] Volatility Spike Detected! Asset: 63761293...
2026-02-25 17:35:11 | INFO     | SpreadSniper |    ↳ Spread: 0.0300 | Avg (EMA): 0.0154 | Threshold Required: 0.0231
2026-02-25 17:35:11 | INFO     | SpreadSniper | [snipe_target] Volatility Spike Detected! Asset: 94521268...
